11948, 0, 1, 66.249.66.91, 20120110162625, 2303533, , 20120110162703
11948, 0, 1, 65.52.110.198, 20120110162703, 2303534, , 20120110162734
11948, 0, 1, 66.249.71.53, 20120110162734, 2303535, , 20120110162740
11948, 0, 1, 66.249.69.244, 20120110162740, 2303536, , 20120110162741
11948, 0, 1, 66.249.71.53, 20120110162741, 2303537, , 20120110162818
11948, 0, 1, 66.249.69.244, 20120110162818, 2303538, , 20120110162845
11948, 0, 1, 66.249.66.91, 20120110162845, 2303539, , 20120110162855
11948, 0, 1, 66.249.66.91, 20120110162855, 2303540, , 20120110162932
11948, 0, 1, 66.249.71.53, 20120110162932, 2303541, , 20120110163010
11948, 0, 1, 66.249.66.91, 20120110163010, 2303542, , 20120110163047
11948, 0, 1, 66.249.71.53, 20120110163047, 2303543, , 20120110163127
11948, 0, 1, 66.249.71.53, 20120110163127, 2303544, , 20120110163220
11948, 0, 1, 66.249.66.91, 20120110163220, 2303545, , 20120110163240
11948, 0, 1, 66.249.66.91, 20120110163240, 2303546, , 20120110163317
11948, 0, 1, 210.66.168.41, 20120110163317, 2303547, , 20120110163339
11948, 0, 1, 220.181.125.71, 20120110163339, 2303548, , 20120110163346
11948, 0, 1, 66.249.71.53, 20120110163346, 2303549, , 20120110163354
11948, 0, 1, 66.249.66.91, 20120110163354, 2303550, , 20120110163432
11948, 0, 1, 111.242.8.198, 20120110163432, 2303551, , 20120110163457
11948, 0, 1, 66.249.71.53, 20120110163457, 2303552, , 20120110163509
11948, 0, 1, 66.249.66.91, 20120110163509, 2303553, , 20120110163548
11948, 0, 1, 66.249.66.91, 20120110163548, 2303554, , 20120110163625
11948, 0, 1, 66.249.71.53, 20120110163625, 2303555, , 20120110163701
11948, 0, 1, 66.249.66.91, 20120110163701, 2303556, , 20120110163739
11948, 0, 1, 220.181.125.71, 20120110163739, 2303557, , 20120110163815
11948, 0, 1, 66.249.71.53, 20120110163815, 2303558, , 20120110163816
11948, 0, 1, 66.249.66.91, 20120110163816, 2303559, , 20120110163855
11948, 0, 1, 66.249.71.53, 20120110163855, 2303560, , 20120110164009
11948, 0, 1, 120.118.96.252, 20120110164009, 2303561, , 20120110164032
11948, 0, 1, 66.249.66.91, 20120110164032, 2303562, , 20120110164046
11948, 0, 1, 66.249.66.91, 20120110164046, 2303563, , 20120110164056
11948, 0, 1, 66.249.71.53, 20120110164056, 2303564, , 20120110164125
11948, 0, 1, 66.249.66.91, 20120110164125, 2303565, , 20120110164201
11948, 0, 1, 65.52.110.198, 20120110164201, 2303566, , 20120110164201
11948, 0, 1, 66.249.66.91, 20120110164201, 2303567, , 20120110164239
11948, 0, 1, 66.249.71.53, 20120110164239, 2303568, , 20120110164317
11948, 0, 1, 66.249.71.53, 20120110164317, 2303569, , 20120110164432
11948, 0, 1, 211.75.115.66, 20120110164432, 2303570, , 20120110164504
11948, 0, 1, 66.249.66.91, 20120110164504, 2303571, , 20120110164551
11948, 0, 1, 220.143.59.151, 20120110164551, 2303572, , 20120110164554
11948, 0, 1, 66.249.71.53, 20120110164554, 2303573, , 20120110164622
11948, 0, 1, 111.242.2.126, 20120110164622, 2303574, , 20120110164635
11948, 0, 1, 66.249.66.91, 20120110164635, 2303575, , 20120110164700
11948, 0, 1, 66.249.71.53, 20120110164700, 2303576, , 20120110164737
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110164737','2303577','20120110164815');insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110164815','2303578','20120110164852');insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110164852','2303579','20120110164930');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.22.28','20120110164930','2303580','20120110165005');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110165949','2303611','20120110170006');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110170006','2303612','20120110170010');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','111.242.2.126','20120110170010','2303613','20120110170023');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110170023','2303614','20120110170043');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110170043','2303615','20120110170053');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110170053','2303616','20120110170114');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170114','2303617','20120110170121');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.72.227','20120110170121','2303618','20120110170158');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170158','2303619','20120110170235');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110170235','2303620','20120110170240');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110170240','2303621','20120110170300');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170300','2303622','20120110170315');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110170315','2303623','20120110170342');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170342','2303624','20120110170350');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110170350','2303625','20120110170424');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170424','2303626','20120110170429');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170429','2303627','20120110170506');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.68.41','20120110170506','2303628','20120110170508');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170508','2303629','20120110170544');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110170544','2303630','20120110170620');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110170620','2303631','20120110170653');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110170653','2303632','20120110170657');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170657','2303633','20120110170735');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110170735','2303634','20120110170850');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110170850','2303635','20120110170927');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110170927','2303636','20120110171004');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.240.143','20120110171004','2303637','20120110171010');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110171010','2303638','20120110171105');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.175.236','20120110171105','2303639','20120110171112');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110171112','2303640','20120110171112');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110171112','2303641','20120110171115');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110171115','2303642','20120110171118');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110171118','2303643','20120110171119');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110171119','2303644','20120110171121');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','220.181.125.71','20120110171121','2303645','20120110171215');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110171215','2303646','20120110171234');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110171234','2303647','20120110171349');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110171349','2303648','20120110171426');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110171426','2303649','20120110171504');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','220.181.125.71','20120110171504','2303650','20120110171514');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110171514','2303651','20120110171541');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110171541','2303652','20120110171619');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','175.181.37.193','20120110171619','2303653','20120110171629');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.115.65','20120110171629','2303654','20120110171649');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110171649','2303655','20120110171657');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110171657','2303656','20120110171733');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110171733','2303657','20120110171811');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110171811','2303658','20120110171850');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110171850','2303659','20120110171925');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110171925','2303660','20120110172003');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','61.60.254.28','20120110172003','2303661','20120110172006');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110172006','2303662','20120110172040');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.21.228','20120110172040','2303663','20120110172100');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172100','2303664','20120110172118');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','111.242.8.141','20120110172118','2303665','20120110172153');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172153','2303666','20120110172155');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172155','2303667','20120110172310');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','220.181.125.71','20120110172310','2303668','20120110172325');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172325','2303669','20120110172348');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172348','2303670','20120110172425');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172425','2303671','20120110172502');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172502','2303672','20120110172541');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172541','2303673','20120110172617');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172617','2303674','20120110172659');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172659','2303675','20120110172810');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.102.192','20120110172810','2303676','20120110172814');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172814','2303677','20120110172847');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172847','2303678','20120110172924');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','122.116.236.138','20120110172924','2303679','20120110172925');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110172925','2303680','20120110173002');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.220.149.245','20120110173002','2303681','20120110173032');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173032','2303682','20120110173039');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173039','2303683','20120110173154');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','111.242.5.126','20120110173154','2303684','20120110173217');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','111.242.10.189','20120110173217','2303685','20120110173217');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173217','2303686','20120110173233');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173233','2303687','20120110173309');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173309','2303688','20120110173346');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110173346','2303689','20120110173423');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110173423','2303690','20120110173501');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173501','2303691','20120110173538');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173538','2303692','20120110173616');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.102.192','20120110173616','2303693','20120110173635');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173635','2303694','20120110173653');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173653','2303695','20120110173731');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110173731','2303696','20120110173808');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173808','2303697','20120110173846');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110173846','2303698','20120110173924');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110173924','2303699','20120110174000');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174000','2303700','20120110174039');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110174039','2303701','20120110174115');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174115','2303702','20120110174153');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174153','2303703','20120110174230');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','111.242.0.190','20120110174230','2303704','20120110174245');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110174245','2303705','20120110174308');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','111.242.7.19','20120110174308','2303706','20120110174344');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174344','2303707','20120110174345');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.68.41','20120110174345','2303708','20120110174357');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174357','2303709','20120110174418');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174418','2303710','20120110174422');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174422','2303711','20120110174439');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174439','2303712','20120110174500');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174500','2303713','20120110174501');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174501','2303714','20120110174522');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','157.55.18.52','20120110174522','2303715','20120110174523');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','220.181.108.178','20120110174523','2303716','20120110174525');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110174525','2303717','20120110174537');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174537','2303718','20120110174604');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174604','2303719','20120110174614');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174614','2303720','20120110174625');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174625','2303721','20120110174647');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110174647','2303722','20120110174652');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174652','2303723','20120110174708');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174708','2303724','20120110174729');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174729','2303725','20120110174800');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174800','2303726','20120110174803');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174803','2303727','20120110174805');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.71.53','20120110174805','2303728','20120110174808');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174808','2303729','20120110174821');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174821','2303730','20120110174824');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174824','2303731','20120110174827');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174827','2303732','20120110174845');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174845','2303733','20120110174922');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.69.244','20120110174922','2303734','20120110174927');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.10.100','20120110174927','2303735','20120110174937');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110174937','2303736','20120110174959');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','140.123.240.21','20120110174959','2303737','20120110175022');
insert into log ( user_id, event_id, tag1, tag2, tag3, mtime ) values ( '0','1','66.249.66.91','20120110175022','2303738','20120110175038');
